louse --synonyms-- cad; cootie; knave;
marker --synonyms-- broad tip pen; colored pen; felt tip pen;
prodigious --synonyms-- colossal; fantastic; immense;
suspension --synonyms-- break; freeze; halt;
amiable --synonyms-- affable; amicable; charming;
technique --synonyms-- approach; art; capability;
finch --synonyms-- NO SYNONYMS;
known --synonyms-- accepted; acknowledged; admitted;
onion --synonyms-- NO SYNONYMS;
delinquent --synonyms-- offending; overdue; tardy;
tan --synonyms-- beige; brownish; drab;
crown --synonyms-- acme; apex; climax;
paste --synonyms-- cement; fasten; fix;
mask --synonyms-- camouflage; cloak; veil;
spin --synonyms-- spiral; twist; circuit;
ultimate --synonyms-- eventual; closing; end;
shown --synonyms-- advertised; delineated; demonstrated;
federal --synonyms-- amalgamated; associated; combined;
useful --synonyms-- advantageous; appropriate; convenient;
especially --synonyms-- chiefly; exclusively; notably;
the --synonyms-- every; a; an;
this --synonyms-- aforementioned; already stated; here;
disaster --synonyms-- calamity; catastrophe; collapse;
terms --synonyms-- charge; circumstances; conclusion;
children --synonyms-- heir; offspring; scion;
stressful --synonyms-- annoying; trying; aggravating;
fastidious --synonyms-- choosy; discriminating; exacting;
quick --synonyms-- abrupt; active; agile;
remotely --synonyms-- casually; accidentally; as a by-product;
tendon --synonyms-- hamstring; ligament; sinew;
discomfort --synonyms-- ache; annoyance; displeasure;
productive --synonyms-- advantageous; beneficial; constructive;
inaudible --synonyms-- hushed; imperceptible; muffled;
cohabit --synonyms-- conjugate; couple; mingle;
wrangle --synonyms-- altercation; bickering; brawl;
affluent --synonyms-- moneyed; prosperous; rich;
animosity --synonyms-- acrimony; animus; antagonism;
imbue --synonyms-- inculcate; ingrain; instill;
sturgeon --synonyms-- NO SYNONYMS;
bearer --synonyms-- agent; carrier; conveyor;
poorly --synonyms-- ill; ailing; below par;
voluntarily --synonyms-- deliberately; freely; intentionally;
glum --synonyms-- depressed; dismal; gloomy;
malicious --synonyms-- malevolent; malignant; mischievous;
oral --synonyms-- lingual; sonant; vocal;
lardy --synonyms-- greasy; oily; rich;
spittle --synonyms-- drivel; expectoration; salivation;
dilapidation --synonyms-- decrepitude; destruction; disintegration;
refreshment --synonyms-- snack; bite; pick-me-up;
repay --synonyms-- compensate; offset; pay back;
tempt --synonyms-- appeal to; attract; captivate;
videotape --synonyms-- cinema; feature film; flick;
successful --synonyms-- fortunate; fruitful; happy;
overcome --synonyms-- affected; beaten; buried;
attraction --synonyms-- allure; appeal; attractiveness;
weary --synonyms-- bored; disgusted; exhausted;
objective --synonyms-- detached; disinterested; dispassionate;
dust --synonyms-- dirt; earth; grime;
nasty --synonyms-- awful; dirty; fierce;
porridge --synonyms-- gruel; oatmeal; polenta;
caught --synonyms-- arrested; captured; entangled;
connected --synonyms-- akin; associated; linked;
wheel --synonyms-- disk; drum; roller;
romantic --synonyms-- adventurous; amorous; charming;
store --synonyms-- stock; abundance; accumulation;
destined --synonyms-- coming; designed; doomed;
devolution --synonyms-- corruption; debasement; decay;
velocity --synonyms-- acceleration; momentum; pace;
contemporary --synonyms-- new; present-day; current;
involving --synonyms-- compelling; demanding; exacting;
eliminate --synonyms-- cancel; defeat; dispose of;
purposely --synonyms-- consciously; deliberately; explicitly;
forge --synonyms-- falsify; produce; coin;
senseless --synonyms-- absurd; illogical; incongruous;
impatience --synonyms-- anger; annoyance; anxiety;
formidable --synonyms-- awesome; dangerous; daunting;
wiring --synonyms-- electrification; electrifying; chip;
admonishment --synonyms-- admonition; chiding; reprimand;
outright --synonyms-- absolute; downright; pure;
jade --synonyms-- baggage; floozy; harlot;
supplant --synonyms-- overthrow; succeed; supersede;
rave --synonyms-- babble; freak out; fume;
clinch --synonyms-- assure; cap; conclude;
zoom --synonyms-- buzz; dart; dash;
asperity --synonyms-- acerbity; acrimony; bitterness;
burst --synonyms-- barrage; blowout; crack;
orchard --synonyms-- garden; plantation; grove;
adoption --synonyms-- acceptance; approval; enactment;
rocket --synonyms-- booster; firework; intercontinental ballistic missile;
flinch --synonyms-- balk; blanch; blink;
platform --synonyms-- floor; podium; terrace;
apricot --synonyms-- cantaloupe; carrot; coral;
various --synonyms-- assorted; different; discrete;
pig --synonyms-- boar; hog; piglet;
data --synonyms-- dossier; evidence; goods;
loud --synonyms-- big; boisterous; deafening;
eat --synonyms-- attack; bite; chew;
drop --synonyms-- bead; bit; bubble;
starve --synonyms-- cease; forgo; pass up;
compel --synonyms-- constrain; enforce; exact;
cynical --synonyms-- contemptuous; derisive; ironic;
locate --synonyms-- detect; discover; establish;
banging --synonyms-- brouhaha; confusion; fuss;
marshy --synonyms-- soggy; boggy; fenny;
contempt --synonyms-- antipathy; condescension; defiance;
emasculate --synonyms-- vitiate; alter; debilitate;
premise --synonyms-- assertion; assumption; basis;
nun --synonyms-- sister; abbess; anchorite;
daunt --synonyms-- baffle; deter; discourage;
ardently --synonyms-- assiduously; carefully; diligently;
infatuated --synonyms-- beguiled; bewitched; captivated;
quietly --synonyms-- softly; faintly; in a low voice;
gorge --synonyms-- canyon; chasm; crevasse;
explode --synonyms-- blast; break out; burst;
shed --synonyms-- discard; drop; jettison;
temple --synonyms-- chapel; church; house;
vein --synonyms-- attitude; bent; character;
splash --synonyms-- dash; sensation; burst;
kidnapping --synonyms-- seizure; taking hostage; appropriation;
petrol --synonyms-- oil; petroleum; Texas Tea;
suddenly --synonyms-- abruptly; all of a sudden; quickly;
beneath --synonyms-- below; underneath; above;
fuss --synonyms-- commotion; confusion; controversy;
silence --synonyms-- blackout; calm; lull;
farther --synonyms-- further; beyond; longer;
lucky --synonyms-- fortuitous; happy; hot;
closet --synonyms-- cabinet; container; locker;
leader --synonyms-- chief; commander; director;
rating --synonyms-- appraisal; assessment; category;
success --synonyms-- accomplishment; achievement; advance;
icicle --synonyms-- chunk; crystal; diamonds;
bacteria --synonyms-- bacilli; germs; microbes;
redeem --synonyms-- pay off; reclaim; recoup;
blizzard --synonyms-- gale; precipitation; squall;
theft --synonyms-- break in; burglary; crime;
fit --synonyms-- able; apt; capable;
tasty --synonyms-- appetizing; delectable; flavorful;
dusk --synonyms-- nightfall; sundown; sunset;
almighty --synonyms-- absolute; all-powerful; invincible;
interesting --synonyms-- alluring; amusing; attractive;
sunken --synonyms-- buried; immersed; indented;
nestle --synonyms-- bundle; burrow; cuddle;
sable --synonyms-- black; dark; ebony;
impassable --synonyms-- impenetrable; insurmountable; blockaded;
oval --synonyms-- elliptical; oblong; ovoid;
prodigal --synonyms-- profligate; spendthrift; squandering;
designing --synonyms-- conniving; conspiring; crooked;
stipulate --synonyms-- designate; guarantee; impose;
lair --synonyms-- hideaway; burrow; cave;
fragile --synonyms-- delicate; feeble; frail;
brandy --synonyms-- whiskey; cognac; marc;
lotion --synonyms-- balm; cosmetic; cream;
mayor --synonyms-- authority; bureaucrat; chief;
scatter --synonyms-- discard; distribute; divide;
ruby --synonyms-- blooming; blowsy; bronzed;
counsellor --synonyms-- barrister; counselor; legal expert;
throat --synonyms-- esophagus; larynx; fauces;
wherever --synonyms-- assuming that; conceding that; granted that;
slam --synonyms-- bang; blast; blow;
confused --synonyms-- baffled; befuddled; bewildered;
button --synonyms-- knob; catch; clasp;
bright --synonyms-- blazing; brilliant; dazzling;
shabby --synonyms-- crummy; decaying; decrepit;
disgrace --synonyms-- contempt; degradation; dishonor;
enough --synonyms-- abundant; adequate; ample;
recoil --synonyms-- backfire; balk; blanch;
stammer --synonyms-- sputter; wobble; falter;
austerity --synonyms-- rigor; acerbity; asperity;
inoculate --synonyms-- inject; vaccinate; protect;
angular --synonyms-- jagged; akimbo; crooked;
allowance --synonyms-- aid; alimony; allocation;
swiss --synonyms-- NO SYNONYMS;
poppy --synonyms-- drug; heroin; morphine;
fizzy --synonyms-- aerated; bubbling; bubbly;
icon --synonyms-- figure; idol; picture;
irksome --synonyms-- aggravating; bothersome; irritating;
livestock --synonyms-- herd; oxen; beasts;
ably --synonyms-- adroitly; competently; capably;
minefield --synonyms-- NO SYNONYMS;
benevolence --synonyms-- benefaction; benignity; compassion;
upstanding --synonyms-- ethical; good; honest;
nude --synonyms-- naked; dishabille; in the buff;
forestall --synonyms-- anticipate; avert; deter;
suburb --synonyms-- countryside; environs; hinterland;
font --synonyms-- fount; fountain; genesis;
unite --synonyms-- band together; coalesce; consolidate;
digging --synonyms-- drilling; boring; burrowing;
ounce --synonyms-- troy; of weight avoirdupois; uncia;
physical --synonyms-- environmental; natural; real;
election --synonyms-- appointment; ballot; balloting;
application --synonyms-- function; operation; use;
remove --synonyms-- abolish; clear away; cut out;
recognize --synonyms-- admit; know; make;
strike --synonyms-- beat; collide; crash;
video --synonyms-- televised; canned; prerecorded;
dish --synonyms-- bowl; container; cup;
horse --synonyms-- colt; filly; mare;
friday --synonyms-- NO SYNONYMS;
market --synonyms-- advertise; display; retail;
reason --synonyms-- logic; reasoning; sense;
ore --synonyms-- metal; metalliferous earth; native mineral;
manoeuvre --synonyms-- NO SYNONYMS;
new --synonyms-- advanced; brand-new; contemporary;
dismal --synonyms-- depressing; dim; discouraging;
fair --synonyms-- candid; civil; clean;
push --synonyms-- advance; assault; attack;
youngest --synonyms-- new; budding; youthful;
suction --synonyms-- consumption; digestion; intake;
arise --synonyms-- appear; begin; crop up;
dilute --synonyms-- adulterate; alter; decrease;
lung --synonyms-- alveolus; bronchi; pleura;
preview --synonyms-- examination; viewing; research;
cherish --synonyms-- admire; adore; appreciate;
forceful --synonyms-- cogent; commanding; compelling;
banking --synonyms-- investment; funding; money dealing;
exhausting --synonyms-- debilitating; draining; taxing;
trashy --synonyms-- crummy; sleazy; tawdry;
inland --synonyms-- back-country; backland; boondocks;
longitude --synonyms-- breadth; diameter; dimension;
fighter --synonyms-- assailant; boxer; champion;
medication --synonyms-- aid; assistance; drug;
sensation --synonyms-- emotion; impression; passion;
invest --synonyms-- devote; lend; provide;
creature --synonyms-- animal; critter; fellow;
awfully --synonyms-- dreadfully; wickedly; clumsily;
fortune --synonyms-- affluence; capital; estate;
battery --synonyms-- array; batch; body;
bureau --synonyms-- agency; authority; board;
raw --synonyms-- basic; coarse; crude;
tonight --synonyms-- ;
army --synonyms-- artillery; battalion; command;
beard --synonyms-- bristles; brush; fuzz;
promise --synonyms-- agreement; assurance; commitment;
bust --synonyms-- bosom; breast; chest;
roadmap --synonyms-- guideline; plan; direction;
limit --synonyms-- cap; ceiling; check;
kick --synonyms-- fun; bang; buzz;
ungrateful --synonyms-- selfish; thankless; unthankful;
manpower --synonyms-- workers; labor force; labor pool;
rather --synonyms-- a bit; a little; comparatively;
woo --synonyms-- cultivate; pursue; solicit;
agreeing --synonyms-- congruent; in concert; in unison;
believe --synonyms-- accept; admit; conclude;
grass --synonyms-- barley; hay; meadow;
commander --synonyms-- administrator; captain; chief;
jackpot --synonyms-- prize; find; kitty;
grub --synonyms-- maggot; worm; caterpillar;
ending --synonyms-- closure; completion; denouement;
gossipy --synonyms-- blabbing; blabby; giving away;
cripple --synonyms-- debilitate; disable; immobilize;
disintegrate --synonyms-- break down; break up; come apart;
extortion --synonyms-- coercion; fraud; shakedown;
pretentious --synonyms-- arty; exaggerated; grandiose;
improper --synonyms-- awkward; erroneous; false;
cheerless --synonyms-- austere; black; bleak;
preservation --synonyms-- care; conservancy; conservation;
dirtiness --synonyms-- contamination; defilement; dirt;
semester --synonyms-- course; period; quarter;
export --synonyms-- dump; ship; smuggle;
bachelor --synonyms-- celibate; single; stag;
orientation --synonyms-- direction; location; acclimatization;
passport --synonyms-- authorization; key; license;
solo --synonyms-- individual; single; solitary;
marrow --synonyms-- bottom; core; cream;
suspend --synonyms-- append; attach; dangle;
necessity --synonyms-- essential; fundamental; obligation;
eaten --synonyms-- mangled; masticated; mouthed;
newly --synonyms-- freshly; anew; just;
frequently --synonyms-- again and again; generally; intermittently;
bile --synonyms-- mind; spirit; temper;
capacity --synonyms-- quantity; scope; size;
exhaust --synonyms-- drain; fatigue; frazzle;
snake --synonyms-- serpent; vermin; bad egg;
insect --synonyms-- ant; aphid; bee;
unlock --synonyms-- decipher; undo; unravel;
deform --synonyms-- contort; impair; maim;
man --synonyms-- dude; fellow; gentleman;
lamp --synonyms-- flashlight; light; beacon;
worth --synonyms-- account; aid; benefit;
hearing --synonyms-- audition; detecting; distinguishing;
strain --synonyms-- ache; anxiety; bruise;
disciple --synonyms-- adherent; apostle; cohort;
lark --synonyms-- prank; adventure; antic;
observance --synonyms-- acknowledgment; adherence; celebration;
digest --synonyms-- abstract; brief; compendium;
illicit --synonyms-- adulterous; bootleg; clandestine;
puzzlement --synonyms-- bewilderment; perplexity; befuddlement;
percussive --synonyms-- aghast; appalled; astonished;
stab --synonyms-- jab; twinge; ache;
inspection --synonyms-- analysis; checkup; inquiry;
glasses --synonyms-- bifocals; blinkers; cheaters;
peculiar --synonyms-- distinct; distinctive; idiosyncratic;
orphan --synonyms-- foundling; ragamuffin; stray;
adequate --synonyms-- acceptable; capable; competent;
tremendous --synonyms-- amazing; astounding; awesome;
admirer --synonyms-- adherent; believer; booster;
financial --synonyms-- commercial; economic; fiscal;
funny --synonyms-- absurd; amusing; droll;
ash --synonyms-- bleached; blonde; golden;
toothbrush --synonyms-- broom; besom; hairbrush;
sick --synonyms-- ailing; confined; debilitated;
deliver --synonyms-- bear; bring; convey;
mileage --synonyms-- length; distance; measure;
hang --synonyms-- attach; bend; cover;
coincident --synonyms-- ancillary; attendant; attending;
adornment --synonyms-- embellishment; ornamentation; beautification;
minute --synonyms-- infinitesimal; insignificant; microscopic;
easiest --synonyms-- accessible; straightforward; simple;
all --synonyms-- complete; entire; full;
cutlery --synonyms-- flatware; cutlery; flatware;
splitting --synonyms-- collapsing; cracking; crumbling;
largest --synonyms-- biggest; larger; better;
vogue --synonyms-- in; latest; mod;
succeed --synonyms-- accomplish; achieve; benefit;
ambition --synonyms-- appetite; aspiration; desire;
bounty --synonyms-- donation; gift; largess;
covered --synonyms-- camouflaged; capped; closed;
vertical --synonyms-- steep; erect; perpendicular;
inheritance --synonyms-- bequest; estate; heritage;
aggravate --synonyms-- bother; irritate; provoke;
technical --synonyms-- high-tech; industrial; mechanical;
remote --synonyms-- distant; faraway; far-flung;
excited --synonyms-- agitated; annoyed; delighted;
failing --synonyms-- declining; defeated; faint;
interpretation --synonyms-- analysis; clarification; explanation;
bottled --synonyms-- conserved; kept; bottled;
point --synonyms-- mark; stop; bit;
benefit --synonyms-- advantage; aid; asset;
satin --synonyms-- lustrous; satiny; silky;
wealth --synonyms-- abundance; affluence; cash;
indelicate --synonyms-- indecorous; base; brash;
encourage --synonyms-- boost; buoy; embolden;
measles --synonyms-- NO SYNONYMS;
squad --synonyms-- band; battalion; division;
visit --synonyms-- appointment; call; holiday;
gently --synonyms-- lightly; mildly; smoothly;
instinct --synonyms-- aptitude; feeling; hunch;
barely --synonyms-- almost; hardly; scarcely;
singular --synonyms-- bizarre; exceptional; extraordinary;
menace --synonyms-- hazard; peril; plague;
delivering --synonyms-- bottomless; boundless; eternal;
spinal --synonyms-- opiate; analgesic; anodyne;
along --synonyms-- forward; onward; on;
tummy --synonyms-- abdomen; belly; breadbasket;
argon --synonyms-- NO SYNONYMS;
center --synonyms-- inside; interior; intermediary;
broad --synonyms-- deep; expansive; full;
provide --synonyms-- add; administer; afford;
inane --synonyms-- absurd; asinine; daft;
impossible --synonyms-- absurd; futile; hopeless;
circumscribe --synonyms-- delineate; hem in; bar;
entail --synonyms-- bring about; call for; encompass;
childbirth --synonyms-- accouchement; childbed; confinement;
infinite --synonyms-- absolute; bottomless; boundless;
ascension --synonyms-- ascent; climbing; flying;
oppression --synonyms-- abuse; brutality; coercion;
reciprocal --synonyms-- complementary; mutual; companion;
check --synonyms-- analysis; audit; checkup;
slimy --synonyms-- viscous; clammy; glutinous;
extent --synonyms-- amount; breadth; degree;
suede --synonyms-- NO SYNONYMS;
vacant --synonyms-- bare; deserted; idle;
trousers --synonyms-- knickers; slacks; bloomers;
civilian --synonyms-- private; noncombatant; pacificist;
gelatine --synonyms-- NO SYNONYMS;
foresight --synonyms-- insight; prudence; anticipation;
cafe --synonyms-- bistro; cafeteria; coffee shop;
hoax --synonyms-- bamboozle; bluff; chicane;
defensive --synonyms-- opposing; averting; conservative;
cloth --synonyms-- cotton; goods; material;
awhile --synonyms-- briefly; for a bit; for a little while;
frequency --synonyms-- density; number; prevalence;
flour --synonyms-- grate; abrade; bray;
arrogant --synonyms-- aloof; bossy; cavalier;
nationality --synonyms-- citizenship; community; ethnic group;
rural --synonyms-- agrarian; agricultural; back-country;
navigate --synonyms-- cross; cruise; handle;
liver --synonyms-- dweller; inhabitant; occupant;
perhaps --synonyms-- maybe; perchance; as it may be;
purple --synonyms-- lavender; lilac; mauve;
junior --synonyms-- inferior; second-string; lower;
who --synonyms-- which; that fact; that one;
hazard --synonyms-- peril; risk; threat;
more --synonyms-- also; extra; further;
scissor --synonyms-- carve; divide; rip;
pervert --synonyms-- deviant; weirdo; debauchee;
stone --synonyms-- gem; gravel; metal;
behead --synonyms-- decapitate; execute; decollate;
utmost --synonyms-- absolute; all-out; sheer;
usual --synonyms-- constant; conventional; current;
about --synonyms-- around; back; backward;
spark --synonyms-- flare; flicker; gleam;
amass --synonyms-- assemble; collect; compile;
jaw --synonyms-- bone; mouth; chops;
surveillance --synonyms-- care; control; examination;
association --synonyms-- club; company; cooperative;
concord --synonyms-- accord; agreement; amity;
pilgrim --synonyms-- settler; traveler; crusader;
successfully --synonyms-- profitably; strongly; well;
irradiate --synonyms-- brighten; light; lighten;
renewal --synonyms-- rebirth; regeneration; rejuvenation;
repercussion --synonyms-- backlash; chain reaction; effect;
keyhole --synonyms-- charity line; foul lane; free throw lane;
accuser --synonyms-- informer; prosecutor; rat;
atrocity --synonyms-- barbarity; horror; atrociousness;
ravenous --synonyms-- ferocious; greedy; insatiable;
jaguar --synonyms-- bobcat; caracal; cheetah;
inert --synonyms-- dormant; immobile; impotent;
aggregate --synonyms-- accumulated; combined; corporate;
rum --synonyms-- aberrant; beat; bent;
scold --synonyms-- admonish; berate; blame;
childhood --synonyms-- adolescence; babyhood; cradle;
tribe --synonyms-- association; caste; clan;
canadian --synonyms-- NO SYNONYMS;
explosion --synonyms-- blast; burst; detonation;
electrical --synonyms-- automatic; computerized; electronic;
lodge --synonyms-- chalet; cottage; country house;
email --synonyms-- e-mail; E-message; online correspondence;
lobby --synonyms-- corridor; doorway; foyer;
gentleman --synonyms-- cavalier; don; sir;
television --synonyms-- audio; box; station;
expert --synonyms-- adept; adroit; deft;
ruin --synonyms-- bankruptcy; collapse; demolition;
near --synonyms-- adjacent; adjoining; immediate;
send --synonyms-- address; assign; circulate;
jews --synonyms-- NO SYNONYMS;
betting --synonyms-- chance; long shot; odds;
contain --synonyms-- accommodate; consist of; enclose;
addiction --synonyms-- bag; bent; craving;
self-confidence --synonyms-- self-assurance; aplomb; inner strength;
spinster --synonyms-- virgin; bachelor girl; lone woman;
layer --synonyms-- bed; blanket; coat;
desert --synonyms-- arid; desolate; lonely;
entertain --synonyms-- beguile; captivate; charm;
flask --synonyms-- beaker; canteen; carafe;
backache --synonyms-- NO SYNONYMS;
rouge --synonyms-- cosmetic; dye; makeup;
loot --synonyms-- booty; spoils; graft;
having --synonyms-- accommodating; arresting; cherishing;
intuition --synonyms-- hunch; instinct; clairvoyance;
pendulous --synonyms-- dangling; hanging; pendent;
literacy --synonyms-- education; knowledge; learning;
tattoo --synonyms-- emblem; symbol; brand;
abstain --synonyms-- cease; forgo; pass up;
decompose --synonyms-- break down; decay; disintegrate;
prod --synonyms-- nudge; press; crowd;
joker --synonyms-- actor; banana; buffoon;
limelight --synonyms-- glare; prominence; public eye;
fetid --synonyms-- noxious; putrid; revolting;
biased --synonyms-- partisan; tendentious; fair;
dock --synonyms-- berth; harbor; jetty;
pictorial --synonyms-- descriptive; illustrated; photographic;
hunch --synonyms-- inkling; instinct; intuition;
particle --synonyms-- fleck; fragment; grain;
significance --synonyms-- connotation; implication; sense;
foolish --synonyms-- absurd; crazy; fantastic;
italian --synonyms-- Catalan; Continental; French;
physically --synonyms-- palpably; substantially; actually;
fur --synonyms-- coat; jacket; pelt;
leftover --synonyms-- extra; residual; unused;
hiring --synonyms-- accommodating; arresting; cherishing;
cane --synonyms-- pole; rod; walking stick;
vanilla --synonyms-- clean; plain; rustic;
protest --synonyms-- challenge; demonstration; dissent;
extreme --synonyms-- acute; intense; severe;
servant --synonyms-- assistant; attendant; helper;
phone --synonyms-- call up; contact; dial;
oil --synonyms-- coat; grease; anoint;
gun --synonyms-- cannon; handgun; hardware;
elderly --synonyms-- aged; aging; old;
useless --synonyms-- counterproductive; fruitless; futile;
uphill --synonyms-- skyward; ascending; climbing;
hash --synonyms-- stew; assortment; clutter;
contribute --synonyms-- add; commit; devote;
disparage --synonyms-- belittle; decry; defame;
contemn --synonyms-- disdain; hate; scorn;
exquisite --synonyms-- admirable; charming; delicate;
locus --synonyms-- arrangement; attitude; ballgame;
faithless --synonyms-- capricious; changeable; changeful;
conserve --synonyms-- hoard; maintain; preserve;
surmise --synonyms-- assumption; attempt; conjecture;
fungus --synonyms-- affliction; canker; decay;
reassure --synonyms-- assure; bolster; buoy;
kidnap --synonyms-- capture; hijack; seize;
episode --synonyms-- chapter; event; experience;
folder --synonyms-- binder; file; pocket;
peek --synonyms-- glance; peep; snoop;
respectful --synonyms-- admiring; appreciative; civil;
lifestyle --synonyms-- behavior; conduct; habits;
felony --synonyms-- arson; assault; burglary;
protestant --synonyms-- NO SYNONYMS;
firing --synonyms-- fiery; flammable; incendiary;
plausible --synonyms-- conceivable; credible; logical;
underground --synonyms-- buried; covered; subterranean;
tabloid --synonyms-- paper; rag; sheet;
sexy --synonyms-- hot; inviting; mature;
anybody --synonyms-- anyone; everybody; everyone;
damage --synonyms-- accident; blow; bruise;
young --synonyms-- budding; inexperienced; new;
storm --synonyms-- blizzard; cyclone; disturbance;
experience --synonyms-- action; background; contact;
correspond --synonyms-- coincide; compare; conform;
irregular --synonyms-- capricious; erratic; intermittent;
fact --synonyms-- case; evidence; experience;
whiskey --synonyms-- alcohol; drink; liquor;
strong --synonyms-- able; active; athletic;
adjustment --synonyms-- alteration; arrangement; improvement;
manual --synonyms-- human; standard; hand-operated;
classy --synonyms-- chic; elegant; fashionable;
archives --synonyms-- athenaeum; library; museum;
magnanimity --synonyms-- chivalry; philanthropy; meanness;
overlap --synonyms-- flap; imbricate; overhang;
humid --synonyms-- dank; moist; muggy;
leggy --synonyms-- awkward; bony; gawky;
pharmacy --synonyms-- apothecary; dispensary; drugstore;
dosage --synonyms-- application; lot; measure;
cede --synonyms-- capitulate; communicate; concede;
foggy --synonyms-- cloudy; fuzzy; misty;
lonesome --synonyms-- deserted; desolate; homesick;
trophy --synonyms-- citation; crown; cup;
billiards --synonyms-- NO SYNONYMS;
rabbit --synonyms-- bunny; hare; rodent;
entitled --synonyms-- titled; baptized; called;
safeguard --synonyms-- security; shield; aegis;
twine --synonyms-- yarn; braid; coil;
assistance --synonyms-- aid; backing; benefit;
district --synonyms-- commune; community; department;
exciting --synonyms-- appealing; astonishing; breathtaking;
planet --synonyms-- asteroid; earth; globe;
fail --synonyms-- break down; decline; fall;
log --synonyms-- chunk; piece; timber;
abuse --synonyms-- corruption; crime; exploitation;
cubicle --synonyms-- booth; cell; chamber;
comfy --synonyms-- homey; snug; soft;
longest --synonyms-- lengthy; protracted; great;
gifted --synonyms-- accomplished; brilliant; capable;
retrieve --synonyms-- bring back; fetch; recapture;
barricade --synonyms-- barrier; blockade; fence;
amendable --synonyms-- convenient; feasible; workable;
earnest --synonyms-- ardent; diligent; fervent;
irritable --synonyms-- annoyed; contentious; exasperated;
illegible --synonyms-- indecipherable; unintelligible; cacographic;
landfall --synonyms-- NO SYNONYMS;
carrier --synonyms-- shipper; bearer; courier;
gospel --synonyms-- dogma; faith; truth;
bargaining --synonyms-- dealings; haggling; trading;
stalk --synonyms-- trunk; twig; axis;
countdown --synonyms-- launch procedure; admission; alpha;
shameless --synonyms-- audacious; bold; brash;
ruler --synonyms-- czar; emperor; king;
remarkable --synonyms-- curious; exceptional; important;
marketing --synonyms-- buying; commerce; retailing;
hardware --synonyms-- housewares; plumbing; accouterments;
gourmet --synonyms-- connoisseur; critic; epicure;
import --synonyms-- construction; acceptation; bearing;
clip --synonyms-- mow; prune; shave;
neglect --synonyms-- carelessness; disrespect; indifference;
mighty --synonyms-- potent; robust; boss;
pride --synonyms-- delight; dignity; ego;
secondly --synonyms-- second; along with; also;
bean --synonyms-- berry; grain; kernel;
bush --synonyms-- backwoods; bramble; briar;
outfit --synonyms-- accoutrements; apparatus; appliances;
breath --synonyms-- breathing; gasp; animation;
toilet --synonyms-- ablutions; attire; dressing;
ate --synonyms-- feed; chew; dine;
stranger --synonyms-- alien; foreigner; guest;
weapon --synonyms-- ammunition; bomb; cannon;
session --synonyms-- conference; discussion; hearing;
write --synonyms-- address; compose; create;
country --synonyms-- agrarian; bucolic; homey;
product --synonyms-- amount; brand; commodity;
gust --synonyms-- blast; breeze; burst;
watery --synonyms-- colorless; damp; moist;
position --synonyms-- area; environment; location;
virgin --synonyms-- stainless; vestal; virginal;
effect --synonyms-- aftermath; consequence; development;
advertising --synonyms-- announcement; announcing; ballyhoo;
spine --synonyms-- bone; vertebrae; back;
continuing --synonyms-- chronic; enduring; lasting;
quest --synonyms-- adventure; chase; crusade;
craft --synonyms-- art; technique; ability;
glutton --synonyms-- gorger; gourmand; hog;
devotion --synonyms-- adherence; adoration; affection;
hepatitis --synonyms-- NO SYNONYMS;
frustration --synonyms-- annoyance; dissatisfaction; failure;
grown up --synonyms-- mature; overdue; plump;
revive --synonyms-- arouse; encourage; energize;
neigh --synonyms-- hee-haw; yell; hee-haw;
aura --synonyms-- ambience; aspect; atmosphere;
floral --synonyms-- decorative; blooming; blossoming;
assail --synonyms-- bash; berate; blast;
mindless --synonyms-- foolish; gratuitous; senseless;
hugely --synonyms-- dreadfully; excessively; extremely;
lenient --synonyms-- benign; compassionate; compliant;
transcript --synonyms-- manuscript; transcription; translation;
epic --synonyms-- legend; narrative; tale;
devious --synonyms-- calculating; deceitful; duplicitous;
budge --synonyms-- bend; change; convince;
archery --synonyms-- ammunition; bomb; cannon;
flock --synonyms-- assembly; colony; congregation;
deadline --synonyms-- limit; period; time limit;
accent --synonyms-- significance; stress; weight;
dislike --synonyms-- animosity; animus; antagonism;
creation --synonyms-- establishment; formation; formulation;
fitness --synonyms-- health; strength; vigor;
deceive --synonyms-- be dishonest; betray; cheat;
narrative --synonyms-- historical; anecdotal; fictional;
opposition --synonyms-- action; hostility; resistance;
adopt --synonyms-- accept; approve; embrace;
russian --synonyms-- NO SYNONYMS;
collar --synonyms-- choker; dicky; fichu;
crush --synonyms-- horde; multitude; throng;
leather --synonyms-- skin; cat-o'-nine-tails; goatskin;
incredibly --synonyms-- especially; fabulously; strangely;
compound --synonyms-- admixture; aggregate; alloy;
revenge --synonyms-- attack; reprisal; retribution;
dance --synonyms-- disco; samba; tango;
swear --synonyms-- affirm; assert; depose;
okay --synonyms-- all right; approved; correct;
beware --synonyms-- heed; take care; attend;
past --synonyms-- completed; former; previous;
prepare --synonyms-- arrange; assemble; brace;
dutch --synonyms-- NO SYNONYMS;
convict --synonyms-- captive; felon; prisoner;
peephole --synonyms-- crevice; eyehole; eyelet;
flatter --synonyms-- charm; adulate; blandish;
unethical --synonyms-- corrupt; illegal; improper;
trip --synonyms-- cruise; expedition; foray;
clear --synonyms-- fair; sunny; clarion;
inextricable --synonyms-- complex; intricate; involved;
fixedly --synonyms-- rigidly; securely; solidly;
fewer --synonyms-- lesser; limited; lower;
doggie --synonyms-- NO SYNONYMS;
ashtray --synonyms-- NO SYNONYMS;
